repository_name,site,views,unique_visitors/cloners
online-payments,Bing,1,1
online-payments,DuckDuckGo,1,1
online-payments,Google,21,4
online-payments,confluence.prod.aws.jpmchase.net,1,1
online-payments,developer-console.prod.aws.jpmchase.net,1,1
online-payments,developer.payments.jpmorgan.com,29,4
online-payments,embedded-banking-dev.com,26,1
online-payments,gateway.zscalertwo.net,9,1
online-payments,github.com,10,5
online-payments,jirafnd.dev.activenetwork.com,1,1
online-payments,jpmorgan.com,1,1
online-payments,mage2.pro,3,1
online-payments,online-payments-dev.com,11,2
online-payments,payments-preview.prod.aws.jpmchase.net,6,2
