repository_name,site,views,unique_visitors/cloners
online-payments,developer-console.prod.aws.jpmchase.net,1,1
online-payments,Google,28,6
online-payments,gateway.zscalertwo.net,9,1
online-payments,payments-preview.prod.aws.jpmchase.net,6,2
online-payments,github.com,5,4
online-payments,jirafnd.dev.activenetwork.com,1,1
online-payments,embedded-banking-dev.com,26,1
online-payments,jpmorgan.com,1,1
online-payments,developer.payments.jpmorgan.com,29,4
online-payments,Bing,1,1
online-payments,online-payments-dev.com,11,2
online-payments,confluence.prod.aws.jpmchase.net,1,1
online-payments,DuckDuckGo,1,1
online-payments,mage2.pro,3,1
